Compound Name,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
Labels,Date Acquired,Data File Name,Data File Path,Acq. Method File,Sample Name,(# 1) Name,(# 1) Ret Time,(# 1) Amount,(# 1) Units,(# 1) Target Response,(# 1) Response Type,(# 2) Name,(# 2) Ret Time,(# 2) Amount,(# 2) Units,(# 2) Target Response,(# 2) Response Type,(# 3) Name,(# 3) Ret Time,(# 3) Amount,(# 3) Units,(# 3) Target Response,(# 3) Response Type,(# 4) Name,(# 4) Ret Time,(# 4) Amount,(# 4) Units,(# 4) Target Response,(# 4) Response Type,(# 5) Name,(# 5) Ret Time,(# 5) Amount,(# 5) Units,(# 5) Target Response,(# 5) Response Type
,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
Format 1 (Yes/No),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Format 1 Title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Format 2 (Yes/No),,,,,,,YES,YES,,YES,YES,,YES,YES,,YES,YES,,YES,YES,,YES,YES,,YES,YES,,YES,YES,,YES,YES,,YES,YES
Format 2 Title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Show X Axis Title,,,,,,,YES,YES,,YES,YES,,YES,YES,,YES,YES,,YES,YES,,YES,YES,,YES,YES,,YES,YES,,YES,YES,,YES,YES
Show Y Axis Title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lines To Chart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Format 1,Format 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start of Data,X-axis,X-axis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2019-09-04 16:16,2019-09-04-07.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,day20_control_1/2,Benzene,0,0,ppb,0,Area,Toluene,3.63,0.06,ppb,6533.196,Area,Ethylbenzene,5.62,0.07,ppb,8924.826,Area,"(m,p)Xylene",5.77,0.07,ppb,16884.409,Area,o-Xylene,6.34,0.06,ppb,7129.584,Area
,2019-09-04 17:58,2019-09-04-09.D,D:\MSD_DATA\2019-09\,BTX_GC3.M,day20_control_1/2,Benzene,2.58,0.68,ppb,64616.572,Area,Toluene,3.66,0.97,ppb,99633.2,Area,Ethylbenzene,5.62,0.07,ppb,9359.858,Area,"(m,p)Xylene",5.79,0.21,ppb,52246.423,Area,o-Xylene,6.37,0.13,ppb,16467.208,Area
